name,commune,lat,lon,type,source
DEKON,Golfe,6.136722,1.227139,CANAL+ STORE,canalbox
WUITI,Golfe,6.170139,1.234639,CANAL+ STORE,canalbox
ADIDOADIN,Golfe,6.205694,1.189806,CANAL+ STORE,canalbox
ADIDOGOME,Golfe,6.175667,1.181722,CANAL+ STORE,canalbox
AGOE,Golfe,6.235556,1.200333,CANAL+ STORE,canalbox
SARAKAWA,Golfe,6.136333,1.260611,CANAL+ STORE,canalbox
BAGUIDA,Golfe,6.161472,1.316722,CANAL+ STORE,canalbox
Canal+,,6.1215499,1.2086981,OSM,osm
Canal distributeur,,6.2164528,1.1871978,OSM,osm
Canal+ Distributeur Agree,,6.2055861,1.1897749,OSM,osm
canal +,,6.9213247,0.619514,OSM,osm
Agence Canal +,,6.1757067,1.1815435,OSM,osm
Canal +,,6.233306,1.1895999,OSM,osm
CANAL HORIZON,Ogou 1,7.5315533,1.1219463,OSM,osm
Canal+store,Ogou 1,7.5308139,1.1232988,OSM,osm
Canal + Notsè,,6.9548081,1.1705999,OSM,osm
Canal +,,6.1367084,1.2269706,OSM,osm
Distributeur de canal box,,6.1275182,1.2082242,OSM,osm
Boutique de Canal+,,6.1215752,1.2087767,OSM,osm
Distributeur canal plus,,6.9476632,1.1783111,OSM,osm
Distributeur canal plus,,6.9484412,1.1739496,OSM,osm
