prefecture_pdf,canton_pdf,masculin,feminin,population_totale,adm2_name,adm3_name,adm3_pcode,center_lat,center_lon,area_sqkm,method
Zio,TSEVIE,38755,42813,81568,Zio,Tsevie,TG030815,6.4936375,1.19877718,116.95159486,exact_pref
Zio,GBATOPE,12656,13661,26317,Zio,Gbatope,TG030810,6.4873215,1.28365465,269.83147349,exact_pref
Zio,KPOME,9251,9740,18991,Zio,Kpome,TG030813,6.339109,1.34204796,82.50004376,exact_pref
Zio,ABOBO,20145,20477,40622,Zio,Abobo,TG030801,6.250369,1.34884681,112.23551667,exact_pref
Zio,DJAGBLE,31754,33701,65455,Zio,Djagble,TG030806,6.2388635,1.2881106,32.67444796,exact_pref
Zio,DALAVE,12221,12375,24596,Zio,Dalave,TG030804,6.3419855,1.27370846,103.47654966,exact_pref
Zio,DAVIE,19405,21113,40518,Zio,Davie,TG030805,6.3561175,1.16549058,69.94209047,exact_pref
Zio,GBLAINVIE,4375,4850,9225,Zio,Gblainvie,TG030811,6.497109,1.11177847,111.24522254,exact_pref
Zio,KOVIE,10024,10810,20834,Zio,Kovie,TG030812,6.3331795,1.08878846,48.34605211,exact_pref
Zio,WLI,2716,2971,5687,Zio,Wli,TG030816,6.3971465,1.12262367,49.75528926,exact_pref
Zio,BOLOU,6050,6828,12878,Zio,Bolou Kpeta,TG030803,6.44595,1.12974679,75.17100293,fuzzy
Zio,MISSION TOVE,28134,28660,56794,Zio,Mission-Tove,TG030814,6.300966,1.12641845,56.52374973,fuzzy
Zio,AGBELOUVE,24520,25699,50219,Zio,Agbelouve,TG030802,6.725136,1.0640904,452.9506497,exact_pref
Zio,GAME,8811,8813,17624,Zio,Game,TG030807,6.748451,1.16453913,208.40690193,exact_pref
Zio,GAPE-CENTRE,9460,10755,20215,Zio,Gape-Centre,TG030809,6.6020945,1.07264145,262.14839081,exact_pref
Zio,GAPE-KPODJI,4090,4399,8489,Zio,Gape Kpodji,TG030808,6.708993,0.94511796,111.38099797,fuzzy
Yoto,TABLIGBO,17747,19435,37182,Yoto,Tabligbo,TG030708,6.5749365,1.48388925,40.59467215,exact_pref
Yoto,KOUVE,10309,11677,21986,Yoto,Kouve,TG030706,6.724689,1.4022068,317.66625095,exact_pref
Yoto,AMOUSSIME,5938,6782,12720,Yoto,Amoussime,TG030702,6.6378225,1.51043821,39.49807428,exact_pref
Yoto,KINI-KONDJI,2604,2861,5465,Yoto,Kini-Kondji,TG030705,6.5853885,1.54829289,29.31897559,exact_pref
Yoto,AHEPE,8556,9582,18138,Yoto,Ahepe,TG030701,6.5699345,1.4236099,95.1523491,exact_pref
Yoto,TCHEKPO,6934,7657,14591,Yoto,Tchekpo,TG030709,6.522515,1.37781262,171.68654892,exact_pref
Yoto,ZAFI,5231,5452,10683,Yoto,Zafi,TG030712,6.7097305,1.29181766,155.05688769,exact_pref
Yoto,TOKPLI,6547,7451,13998,Yoto,Tokpli,TG030710,6.6277465,1.57326266,79.48497246,exact_pref
Yoto,GBOTO,6151,7017,13168,Yoto,Gboto,TG030704,6.7166405,1.48255648,60.35619288,exact_pref
Yoto,TOMETY-KONDJI,4302,4766,9068,Yoto,Tomety-Kondji,TG030711,6.8246885,1.54342999,157.14037738,exact_pref
Yoto,SEDOME,4698,5257,9955,Yoto,Sedome,TG030707,6.7761895,1.58426845,37.95510589,exact_pref
Yoto,ESSE-GODJIN,3842,4055,7897,Yoto,Esse Godjin,TG030703,6.7144905,1.54500252,77.18600385,fuzzy
Bas-Mono,AFAGNAGAN,9127,10351,19478,Bas-Mono,Afagnan / Afagnagan,TG030201,6.5041125,1.63203284,112.25715045,fuzzy
Bas-Mono,AFAGNAN,7427,8502,15929,Bas-Mono,Afagnan / Afagnagan,TG030201,6.5041125,1.63203284,112.25715045,fuzzy
Bas-Mono,AGOME-GLOZOU,3475,3779,7254,Bas-Mono,Agome Glozou/Agbetiko,TG030202,6.501472,1.68786447,72.98692102,fuzzy
Bas-Mono,KPETSOU,5944,6777,12721,Bas-Mono,Kpetsou,TG030205,6.5403915,1.58603307,35.1716949,exact_pref
Bas-Mono,ATTITOGON,14516,16772,31288,Bas-Mono,Attitogon,TG030203,6.4102385,1.64853773,68.97885036,exact_pref
Bas-Mono,AGBETIKO,1919,2168,4087,Bas-Mono,Agome Glozou/Agbetiko,TG030202,6.501472,1.68786447,72.98692102,fuzzy
Bas-Mono,HOMPOU,1958,2145,4103,Bas-Mono,Hompou,TG030204,6.4188905,1.71718071,40.08802423,exact_pref
Lacs,ANEHO,13533,14704,28237,Lacs,Aneho,TG030404,6.238067,1.60710534,17.39448502,exact_pref
Lacs,GLIDJI,11719,13038,24757,Lacs,Glidji,TG030407,6.2709135,1.60575814,40.04226344,exact_pref
Lacs,AKLAKOU,14880,16150,31030,Lacs,Aklakou,TG030403,6.3394925,1.71717882,179.99184507,exact_pref
Lacs,AGOUEGAN,5555,6270,11825,Lacs,Agouegan,TG030402,6.273966,1.71979261,49.17277933,exact_pref
Lacs,AGBODRAFO,17147,18115,35262,Lacs,Agbodrafo,TG030401,6.2125395,1.517279,81.48233086,exact_pref
Lacs,GBODJOME,35014,37900,72914,,,,,,,unmatched
Lacs,ANFOIN,8163,9009,17172,Lacs,Anfoin,TG030405,6.340102,1.61107313,25.37745704,exact_pref
Lacs,GANAVE,5146,5916,11062,Lacs,Ganave/Fiata,TG030406,6.3263905,1.63842395,22.93776515,fuzzy
Lacs,FIATA,4311,4677,8988,Lacs,Ganave/Fiata,TG030406,6.3263905,1.63842395,22.93776515,fuzzy
Vo,VOGAN,29903,34772,64675,Vo,Vogan,TG030609,6.360466,1.50164628,161.9336999,exact_pref
Vo,VO-KOUTIME,11594,12596,24190,Vo,Vo-Koutime,TG030610,6.398733,1.53695039,61.68650901,exact_pref
Vo,TOGOVILLE,8646,9607,18253,Vo,Togoville,TG030608,6.2559935,1.46966189,77.2915368,exact_pref
Vo,ANYRON KOPE,2866,3277,6143,Vo,Anyron Kope,TG030602,6.259088,1.55343911,32.32379531,exact_pref
Vo,DZREKPO,14002,15685,29687,Vo,Dzrekpo,TG030604,6.4402515,1.56889204,57.58431778,exact_pref
Vo,DAGBATI,8495,9711,18206,Vo,Dagbati,TG030603,6.487658,1.5049104,96.54854893,exact_pref
Vo,MOME-HOUNKPATI,7622,9136,16758,Vo,Mome-Hounkpati,TG030606,6.502912,1.55479811,42.03791153,exact_pref
Vo,AKOUMAPE,8780,10407,19187,Vo,Akoumape,TG030601,6.433624,1.43719233,123.41311181,exact_pref
Vo,SEVAGAN,5942,6977,12919,Vo,Sevagan,TG030607,6.31843,1.42207867,63.68895772,exact_pref
Vo,HAHOTOE,6635,7758,14393,Vo,Hahotoe,TG030605,6.3964085,1.38973692,38.92518801,exact_pref
Avé,KEVE,5524,6211,11735,Ave,Keve,TG030105,6.478304,1.01955256,105.78303589,exact_pref
Avé,DZOLO,3751,4350,8101,Ave,Dzolo,TG030104,6.380591,0.90563391,123.4217079,exact_pref
Avé,EDZI,859,973,1832,,,,,,,unmatched
