prefecture,canton,masculin,feminin,population_totale
Zio,TSEVIE,38755,42813,81568
Zio,GBATOPE,12656,13661,26317
Zio,KPOME,9251,9740,18991
Zio,ABOBO,20145,20477,40622
Zio,DJAGBLE,31754,33701,65455
Zio,DALAVE,12221,12375,24596
Zio,DAVIE,19405,21113,40518
Zio,GBLAINVIE,4375,4850,9225
Zio,KOVIE,10024,10810,20834
Zio,WLI,2716,2971,5687
Zio,BOLOU,6050,6828,12878
Zio,MISSION TOVE,28134,28660,56794
Zio,AGBELOUVE,24520,25699,50219
Zio,GAME,8811,8813,17624
Zio,GAPE-CENTRE,9460,10755,20215
Zio,GAPE-KPODJI,4090,4399,8489
Yoto,TABLIGBO,17747,19435,37182
Yoto,KOUVE,10309,11677,21986
Yoto,AMOUSSIME,5938,6782,12720
Yoto,KINI-KONDJI,2604,2861,5465
Yoto,AHEPE,8556,9582,18138
Yoto,TCHEKPO,6934,7657,14591
Yoto,ZAFI,5231,5452,10683
Yoto,TOKPLI,6547,7451,13998
Yoto,GBOTO,6151,7017,13168
Yoto,TOMETY-KONDJI,4302,4766,9068
Yoto,SEDOME,4698,5257,9955
Yoto,ESSE-GODJIN,3842,4055,7897
Bas-Mono,AFAGNAGAN,9127,10351,19478
Bas-Mono,AFAGNAN,7427,8502,15929
Bas-Mono,AGOME-GLOZOU,3475,3779,7254
Bas-Mono,KPETSOU,5944,6777,12721
Bas-Mono,ATTITOGON,14516,16772,31288
Bas-Mono,AGBETIKO,1919,2168,4087
Bas-Mono,HOMPOU,1958,2145,4103
Lacs,ANEHO,13533,14704,28237
Lacs,GLIDJI,11719,13038,24757
Lacs,AKLAKOU,14880,16150,31030
Lacs,AGOUEGAN,5555,6270,11825
Lacs,AGBODRAFO,17147,18115,35262
Lacs,GBODJOME,35014,37900,72914
Lacs,ANFOIN,8163,9009,17172
Lacs,GANAVE,5146,5916,11062
Lacs,FIATA,4311,4677,8988
Vo,VOGAN,29903,34772,64675
Vo,VO-KOUTIME,11594,12596,24190
Vo,TOGOVILLE,8646,9607,18253
Vo,ANYRON KOPE,2866,3277,6143
Vo,DZREKPO,14002,15685,29687
Vo,DAGBATI,8495,9711,18206
Vo,MOME-HOUNKPATI,7622,9136,16758
Vo,AKOUMAPE,8780,10407,19187
Vo,SEVAGAN,5942,6977,12919
Vo,HAHOTOE,6635,7758,14393
Avé,KEVE,5524,6211,11735
Avé,DZOLO,3751,4350,8101
Avé,EDZI,859,973,1832
Avé,TOVEGAN,6152,6580,12732
Avé,ASSAHOUN/ANDO,19326,21318,40644
Avé,NOEPE,4747,5049,9796
Avé,BADJA,4699,4714,9413
Avé,AKEPE,8273,8688,16961
Ogou,DJAMA,22867,23018,45885
Ogou,GNAGNA,29195,31027,60222
Ogou,WOUDOU,4899,5295,10194
Ogou,DATCHA,7277,7903,15180
Ogou,KATORE,6904,6731,13635
Ogou,AKPARE,13737,13730,27467
Ogou,GLEI,25362,26474,51836
Ogou,OUNTIVOU,13832,15216,29048
Moyen-Mono,TOHOUN,8507,9886,18393
Moyen-Mono,TADO,8696,9780,18476
Moyen-Mono,AHASSOME,4492,5436,9928
Moyen-Mono,KPEKPLEME,10088,12047,22135
Moyen-Mono,KATOME,3679,4426,8105
Moyen-Mono,SALIGBE,5951,7517,13468
Haho,NOTSE,28691,30292,58983
Haho,ATCHAVE,12708,12852,25560
Haho,DALIA,8078,8294,16372
Haho,HAHOMEGBE,9691,9323,19014
Haho,ASRAMA,23926,27068,50994
Haho,DJEMEGNI,14004,17509,31513
Haho,KPEDOME,23016,23310,46326
Haho,AKPAKPAKPE,6218,6151,12369
Haho,WAHALA,18028,18675,36703
Haho,AYITO,3669,3593,7262
Agou,AGOU TAVIE,4367,4652,9019
Agou,AGOU-AKPLOLO,1274,1335,2609
Agou,AGOU KEBO,1274,1434,2708
Agou,AGOU YIBOE,1524,1370,2894
Agou,KATI,4047,4184,8231
Agou,GADJA,10361,10273,20634
Agou,AGOU ATIGBE,926,919,1845
Agou,ADJAHUN FIAGBE,1486,1448,2934
Agou,NYOGBO-NORD_ NYOGBO-SUD,3721,3733,7454
Agou,AMOUSSOU KOPE,5799,5898,11697
Agou,ADZAKPA,3638,3798,7436
Agou,AGOTIME NORD,4032,4300,8332
Kloto,AGOME KPALIME,42058,45420,87478
Kloto,YOKELE,1607,1641,3248
Kloto,TOVE,2792,2870,5662
Kloto,TOME,1695,1592,3287
Kloto,GBALAVE,1172,1132,2304
Kloto,HANYIGBA,2202,2253,4455
Kloto,KPADAPE_WOME,5839,6114,11953
Kloto,KPIME,3676,3549,7225
Kloto,LAVIE /LAVIE APEDOME,4378,4563,8941
Kloto,KOUMA,3391,3424,6815
Kloto,AGOME,903,882,1785
Kloto,AGOME-TOMEGBE,1448,1385,2833
Kpélé,KPELE-NOVIVE,14794,15193,29987
Kpélé,AKATA,3826,3829,7655
Kpélé,KPELE-GOVIE,2205,2424,4629
Kpélé,KPELE-DAWLOTOU,5540,5464,11004
Kpélé,KPELE-CENTRE/GOUDEVE,3610,3652,7262
Kpélé,KPELE-GBALADZE,1645,1680,3325
Kpélé,KPELE-KAME,2975,2991,5966
Kpélé,KPELE-DUTOE,1775,1798,3573
Kpélé,KPELE-NORD,3759,3779,7538
Wawa,BADOU,10155,9989,20144
Wawa,KESSIBO,5322,5168,10490
Wawa,TOMEGBE,4497,4287,8784
Wawa,KPETE BENA,5970,5799,11769
Wawa,EKETO_GBANDI- N'KOUGNA_GOBE,10442,9972,20414
Wawa,OKOU,2417,2348,4765
Wawa,OUNABE,1753,1724,3477
Wawa,DOUME,2367,2275,4642
Wawa,ZOGBEGAN,5457,5455,10912
Wawa,KLABE EFOUKPA,3003,2900,5903
Akébou,KOUGNOHOU,6853,6865,13718
Akébou,VHE,2627,2688,5315
Akébou,DJON,6857,6705,13562
Akébou,GBENDE,3112,2959,6071
Akébou,YALLA,2790,2740,5530
Akébou,KAMINA,7442,7190,14632
Akébou,KPALAVE,3442,3547,6989
Akébou,SEREGBENE,4113,3900,8013
Amou,OUMA-AMLAME,6844,6938,13782
Amou,IMLE,2449,2357,4806
Amou,ADIVA,562,596,1158
Amou,AMOU-OBLO,9916,10007,19923
Amou,SODO,2032,1888,3920
Amou,EKPEGNON,3035,3063,6098
Amou,KPATEGAN,5037,5038,10075
Amou,HIHEATRO,11290,12040,23330
Amou,OKPAHOE,595,652,1247
Amou,OTADI,2731,2690,5421
Amou,GAME,3693,3684,7377
Amou,AVEDJE-ITADI,1533,1583,3116
Amou,TEMEDJA,4423,4603,9026
Amou,EVOU,2403,2490,4893
Anié,ANIE,38841,39614,78455
Anié,PALLAKOKO,3722,3650,7372
Anié,KOLO-KOPE,7569,7349,14918
Anié,ADOGBENOU,19214,18784,37998
Anié,GLITTO,11465,11950,23415
Anié,ATCHINEDJI,9086,8914,18000
Est-Mono,ELAVAGNON,12552,12464,25016
Est-Mono,GBADJAHE,4882,4754,9636
Est-Mono,MORETAN,25126,24169,49295
Est-Mono,BADIN,13681,13198,26879
Est-Mono,KAMINA,13081,12611,25692
Est-Mono,NYAMASSILA,7961,8071,16032
Est-Mono,KPESSI,6046,5864,11910
Tchaoudjo,KOMAH,45650,45956,91606
Tchaoudjo,KPARATAO,8332,8256,16588
Tchaoudjo,KADAMBARA,11637,11889,23526
Tchaoudjo,TCHALO,4393,4478,8871
Tchaoudjo,KPANGALAM,18218,18897,37115
Tchaoudjo,LAMA-TESSI,12303,12588,24891
Tchaoudjo,ALEHERIDE,2976,3147,6123
Tchaoudjo,AMAIDE,2138,2200,4338
Tchaoudjo,KEMENI,1460,1416,2876
Tchaoudjo,KOLINA,2043,2104,4147
Tchaoudjo,AGOULOU,6788,6926,13714
Tchaoudjo,KPASSOUADE,1691,1777,3468
Tchaoudjo,WASSARABO,1497,1600,3097
Tchamba,TCHAMBA,24189,24203,48392
Tchamba,ALIBI,5253,5071,10324
Tchamba,LARNI,3576,3537,7113
Tchamba,KRI-KRI (ADJEIDE),3660,3699,7359
Tchamba,AFFEM,4598,4665,9263
Tchamba,KOUSSOUNTOU,14294,14049,28343
Tchamba,BAGO,18745,17842,36587
Tchamba,KABOLI,15113,15462,30575
Tchamba,GOUBI,5514,5331,10845
Tchamba,BALANKA,6038,5746,11784
Blitta,BLITTA-GARE,6998,7069,14067
Blitta,BLITTA VILLAGE,5268,5526,10794
Blitta,YALOUMBE,3111,3142,6253
Blitta,TCHALOUDE,4886,4866,9752
Blitta,WARAGNI,2401,2555,4956
Blitta,PAGALA-GARE,11669,11443,23112
Blitta,DOUFOULI,1309,1296,2605
Blitta,AGBANDI,5989,6133,12122
Blitta,LANGABOU,8329,8461,16790
Blitta,KOFFITI,5057,5237,10294
Blitta,TCHARE-BAOU,3717,3592,7309
Blitta,M'POTI,3610,3361,6971
Blitta,TCHIFAMA,2852,2722,5574
Blitta,PAGALA-VILLAGE,1800,1754,3554
Blitta,WELLY,5086,5084,10170
Blitta,TINTCHRO,1987,2054,4041
Blitta,ATCHINTSE,2365,2207,4572
Blitta,DIGUENGUE,786,737,1523
Blitta,DIKPELEOU,1011,1075,2086
Blitta,YEGUE,1763,1709,3472
Blitta,KATCHENKE,1608,1647,3255
Sotouboua,SOTOUBOUA,18336,18807,37143
Sotouboua,KANIAMBOUA,1070,1120,2190
Sotouboua,TABINDE,3802,3772,7574
Sotouboua,ADJENGRE,10553,11174,21727
Sotouboua,SESSARO,6214,6012,12226
Sotouboua,TITIGBE,3532,3598,7130
Sotouboua,KERIADE,1847,1677,3524
Sotouboua,FAZAO,1161,1128,2289
Sotouboua,AOUDA,8654,8637,17291
Sotouboua,TCHEBEBE,8101,8104,16205
Sotouboua,BODJONDE,1070,1148,2218
Sotouboua,KAZABOUA,4800,4547,9347
Mô,DJARKPANGA,9817,9557,19374
Mô,KAGNIGBARA,2704,2613,5317
Mô,BOULOHOU,2932,2899,5831
Mô,TINDJASSI,7185,7045,14230
Mô,SAIBOUDE,3850,3846,7696
Kozah,LAMA,81118,80058,161176
Kozah,LASSA,6231,6768,12999
Kozah,SOUMDINA,4338,4936,9274
Kozah,LANDA,4883,5293,10176
Kozah,PYA,5983,5415,11398
Kozah,KOUMEA,3562,3927,7489
Kozah,TCHARE,1115,1186,2301
Kozah,BOHOU,3261,3478,6739
Kozah,YADE,2019,2282,4301
Kozah,TCHITCHAO,3909,3518,7427
Kozah,SARAKAWA,2902,3147,6049
Kozah,AWANDJELO,5969,6178,12147
Kozah,KPINZINDE,5850,5758,11608
Kozah,ATCHANGBADE,8223,8653,16876
Kozah,DJAMDE,1825,1953,3778
Assoli,BAFILO,13763,13275,27038
Assoli,BOULADE,2683,2701,5384
Assoli,DAKO/DAOUDE,4023,3972,7995
Assoli,ALEDJO,2471,2338,4809
Assoli,KOUMONDE,2415,2709,5124
Assoli,SOUDOU,7891,8153,16044
Bassar,BASSAR,23011,22835,45846
Bassar,BAGHAN,6070,5744,11814
Bassar,KALANGA,3700,3699,7399
Bassar,BANGELI,7878,7693,15571
Bassar,BITCHABE,3661,3481,7142
Bassar,DIMORI,6971,6792,13763
Bassar,KABOU,13288,13316,26604
Bassar,MANGA,3494,3775,7269
Bassar,SANDA-KAGBANDA,5234,5408,10642
Bassar,SANDA-AFOHOU,2928,3087,6015
Dankpen,GUERIN-KOUKA,23973,24426,48399
Dankpen,NAMPOCH,4534,4722,9256
Dankpen,KATCHAMBA,4461,4660,9121
Dankpen,KOULFIEKOU,4695,4823,9518
Dankpen,NAMON,4650,4739,9389
Dankpen,NATCHIBORE,5747,5994,11741
Dankpen,NATCHITIKPI,3750,4094,7844
Dankpen,KOUTCHITCHEOU,1818,1924,3742
Dankpen,BAPURE,12782,12646,25428
Dankpen,NANDOUTA,6930,7184,14114
Dankpen,NAWARE,8976,9277,18253
Dankpen,KIDJABOUN,9251,9606,18857
Kéran,KANDE,13131,13135,26266
Kéran,AKPONTE,4372,4505,8877
Kéran,PESSIDE,4614,4642,9256
Kéran,ATALOTE,8636,8793,17429
Kéran,OSSACRE,9747,10095,19842
Kéran,HELOTA,7771,8263,16034
Kéran,NADOBA,9785,10093,19878
Kéran,WARENGO,3219,3096,6315
Kéran,KOUTOUGOU,2456,2334,4790
Doufelgou,NIAMTOUGOU,3105,3328,6433
Doufelgou,AGBANDE-YAKA,4299,4616,8915
Doufelgou,BAGA,2873,3032,5905
Doufelgou,KOKA,1711,1722,3433
Doufelgou,TENEGA,2033,2270,4303
Doufelgou,SIOU,4228,4682,8910
Doufelgou,POUDA,1569,1568,3137
Doufelgou,MASSEDENA,1851,1896,3747
Doufelgou,DEFALE,3282,3656,6938
Doufelgou,KPAHA,1812,1880,3692
Doufelgou,ANIMA,510,582,1092
Doufelgou,KADJALLA,4762,5073,9835
Doufelgou,TCHORE,1953,2029,3982
Doufelgou,ALLOUM,4968,5271,10239
Doufelgou,LEON,2017,2189,4206
Binah,PAGOUDA,8281,8589,16870
Binah,LAMA-DESSI,1959,1973,3932
Binah,PITIKITA,726,758,1484
Binah,PESSARE,3092,3237,6329
Binah,BOUFALE,2836,2965,5801
Binah,SOLLA,4808,4815,9623
Binah,KETAO,12632,13177,25809
Binah,KEMERIDA,3434,3748,7182
Binah,SIRKA,3517,3652,7169
Tône,DAPAONG,69801,74910,144711
Tône,KOURIENTRE,5805,6419,12224
Tône,POISSONGUI,2971,3184,6155
Tône,NATIGOU,5320,5914,11234
Tône,TOAGA,6432,7062,13494
Tône,PANA,6290,6989,13279
Tône,BIDJENGA,4967,5679,10646
Tône,NAKI-OUEST,11193,12823,24016
Tône,NAMARE,5695,6408,12103
Tône,NANERGOU,6640,7420,14060
Tône,TAMI,9809,10810,20619
Tône,NIOUKPOURMA,8491,9500,17991
Tône,LOTOGOU,6962,7470,14432
Tône,WARKAMBOU,3467,3767,7234
Tône,KORBONGOU,12155,13454,25609
Tône,LOUANGA,5411,6023,11434
Tône,KANTINDI,6746,7270,14016
Tône,SANFATOUTE,7325,8193,15518
Cinkassé,CINKASSE,31288,31938,63226
Cinkassé,BOADE,3576,3827,7403
Cinkassé,GNOAGA,785,871,1656
Cinkassé,GOULOUNGOUSSI,1781,1926,3707
Cinkassé,TIMBOU,10362,11347,21709
Cinkassé,SAM-NABA,4280,5081,9361
Cinkassé,NADJOUNDI,4817,5323,10140
Cinkassé,BIANKOURI,5685,6072,11757
Kpendjal-Ouest,NAKI-EST,11442,13319,24761
Kpendjal-Ouest,NAYEGA,9075,10160,19235
Kpendjal-Ouest,OGARO,5911,6552,12463
Kpendjal-Ouest,POGNO,7368,8080,15448
Kpendjal-Ouest,NAMOUNDJOGA,8507,9389,17896
Kpendjal-Ouest,TAMBONGA,8835,9874,18709
Kpendjal-Ouest,PAPRI,7037,7781,14818
Kpendjal,MANDOURI,9963,10653,20616
Kpendjal,TAMBIGOU,4615,4746,9361
Kpendjal,KOUNDJOARE,8673,9253,17926
Kpendjal,BORGOU,19784,20678,40462
Oti-Sud,GANDO,20245,21129,41374
Oti-Sud,SAGBIEBOU,9931,10439,20370
Oti-Sud,MOGOU,14668,15774,30442
Oti-Sud,TCHAMONGA,6766,7100,13866
Oti-Sud,TAKPAMBA,6165,6258,12423
Oti-Sud,NALI,5504,5780,11284
Oti-Sud,KOUMONGOU,3415,3752,7167
Oti-Sud,KOUNTOIRE,6638,6812,13450
Oti,MANGO,20661,21142,41803
Oti,SADORI,3915,4185,8100
Oti,FARE,2175,2401,4576
Oti,BARKOISSI,9970,11090,21060
Oti,GALANGASHIE,7207,7603,14810
Oti,TCHANAGA,4402,4571,8973
Oti,NAGBENI,9368,10239,19607
Oti,LOKO,2940,2979,5919
Tandjoaré,NANDOGA,2961,3373,6334
Tandjoaré,BOMBOUAKA,5224,5545,10769
Tandjoaré,PLIGOU,3242,3800,7042
Tandjoaré,BOULOGOU,2845,3256,6101
Tandjoaré,LOKO,3056,3131,6187
Tandjoaré,TAMONGUE,10502,10903,21405
Tandjoaré,BOGOU,5110,5396,10506
Tandjoaré,GOUNDOGA,2997,3351,6348
Tandjoaré,NANO,7969,9124,17093
Tandjoaré,DOUKPERGOU,3391,3635,7026
Tandjoaré,LOKPANO,2892,3133,6025
Tandjoaré,SANGOU,1266,1354,2620
Tandjoaré,MAMPROUGOU,2959,3372,6331
Tandjoaré,BAGOU,1164,1226,2390
Tandjoaré,TAMPIALIME,6677,7670,14347
Tandjoaré,SISSIAK,3926,4417,8343
