region,prefecture,population_hommes,population_femmes,population_totale
Grand Lomé,Golfe,631567,674114,1305681
Grand Lomé,Agoè-Nyivé,428937,453758,882695
Maritime,Zio,242367,257665,500032
Maritime,Yoto,82859,91992,174851
Maritime,Bas-Mono,44366,50494,94860
Maritime,Lacs,115468,125779,241247
Maritime,Vo,104485,119926,224411
Maritime,Avé,53331,57883,111214
Plateaux,Ogou,124073,129394,253467
Plateaux,Moyen-Mono,41413,49092,90505
Plateaux,Haho,148029,157067,305096
Plateaux,Agou,42449,43344,85793
Plateaux,Kloto,71161,74825,145986
Plateaux,Kpélé,40129,40810,80939
Plateaux,Danyi,20512,19728,40240
Plateaux,Wawa,51383,49917,101300
Plateaux,Akébou,37236,36594,73830
Plateaux,Amou,56543,57629,114172
Plateaux,Anié,89897,90261,180158
Plateaux,Est-Mono,83329,81131,164460
Centrale,Tchaoudjo,119126,121234,240360
Centrale,Tchamba,100980,99605,200585
Centrale,Blitta,81602,81670,163272
Centrale,Sotouboua,69140,69724,138864
Centrale,Mô,26488,25960,52448
Kara,Kozah,141188,142550,283738
Kara,Assoli,33246,33148,66394
Kara,Bassar,76235,75830,152065
Kara,Dankpen,91567,94095,185662
Kara,Kéran,63731,64956,128687
Kara,Doufelgou,40973,43794,84767
Kara,Binah,41285,42914,84199
Savanes,Tône,185480,203295,388775
Savanes,Cinkassé,62574,66385,128959
Savanes,Kpendjal-Ouest,58175,65155,123330
Savanes,Kpendjal,43035,45330,88365
Savanes,Oti-Sud,73332,77044,150376
Savanes,Oti,60638,64210,124848
Savanes,Tandjoaré,66181,72686,138867
