adm2_pcode,adm2_name,center_lat,center_lon,area_sqkm
TG0309,Agoe-Nyive,6.2852065,1.20461031,167.06618259
TG0403,Agou,6.7546995,0.76662838,1095.21997601
TG0410,Akebou,7.828317,0.75340977,1145.90487857
TG0401,Amou,7.540478,1.06552214,1807.76248492
TG0411,Anie,7.69633,1.40283706,1985.9714186
TG0201,Assoli,9.3367,1.18479329,933.10907332
TG0301,Ave,6.439203,0.91433283,1049.32257354
TG0302,Bas-Mono,6.4712705,1.66136466,329.48264097
TG0202,Bassar,9.2515535,0.7685996,3454.42905592
TG0203,Binah,9.7542715,1.28149483,580.75810469
TG0101,Blitta,8.152462,0.93288535,3127.99968538
TG0517,Cinkasse,11.050334,0.10160948,275.62080833
TG0204,Dankpen,9.72644,0.59292152,2540.94430954
TG0404,Danyi,7.230773,0.69335601,396.1185823
TG0205,Doufelgou,9.838018,1.03295879,1157.54760315
TG0405,Est-Mono,8.1391375,1.44822718,2652.6494662
TG0303,Golfe,6.1897955,1.13378181,136.16724517
TG0406,Haho,7.0250375,1.22365679,3050.70701564
TG0206,Keran,10.0691435,0.97535149,2017.96152514
TG0412,Kloto,6.9198975,0.62961346,527.75193831
TG0207,Kozah,9.557844,1.14266977,1085.73897539
TG0407,Kpele,7.115705,0.80594425,930.33212708
TG0513,Kpendjal,10.800976,0.70050516,1393.15894587
TG0304,Lacs,6.2990725,1.69650488,416.39892591
TG0305,Lome Commune,6.15666383,1.24556024,104.57055
TG0408,Moyen-Mono,7.19603,1.55804792,626.26142238
TG0518,Naki-Ouest,10.8311845,0.44986074,785.59368123
TG0409,Ogou,7.4634425,1.27569756,1943.99066212
TG0514,Oti,10.4055425,0.41077067,1541.8556289
TG0519,Oti-Sud,10.287583,0.7185464,2392.93295567
TG0102,Plaine du Mo,8.7650495,0.54850282,1254.47395337
TG0103,Sotouboua,8.705187,0.96122812,3146.16396622
TG0515,Tandjoare,10.606418,0.1604846,951.36855408
TG0104,Tchamba,8.818851,1.47724448,3197.3384249
TG0105,Tchaoudjo,8.992328,1.12985637,2395.63423124
TG0516,Tone,10.868205,0.1691043,1219.84559185
TG0306,Vo,6.3934495,1.50019455,755.4335768
TG0402,Wawa,7.5434905,0.76005811,1243.84976423
TG0307,Yoto,6.669646,1.45191927,1261.09641114
TG0308,Zio,6.5329235,1.15564866,2163.53997385
