region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,activite_statut,operateur,lon,lat
Centrale,Sotouboua,Sotouboua 1,Sotouboua,Laowe,Agence Togocom Sotouboua,"Agence Togocom Sotouboua, Laowe",Nsp,Togocom,0.985734376020098,8.561571052152336
Maritime,Golfe,Golfe 4,Amoutivé,Assivito,Agence Togocom Assivito,"Agence Togocom Assivito, Assivito",{Utilise},Togocom,1.221865,6.130468333333332
Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Zongo,Boutique Togocom Tchakala,"Boutique Togocom Tchakala, Zongo, BP244 Sokodé",{Utilise},Togocom,1.1404672575309502,8.98419873591971
Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Barriere,Agence Togocom Sokode,"Agence Togocom Sokode, Barriere, BP333",{Utilise},Togocom,1.1364225484392025,8.995775168282453
Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Komah ,Agence Togocom Franchise Koma,"Agence Togocom Franchise Koma, Komah ",{Utilise},Togocom,1.149767464182392,8.969711814416957
Centrale,Tchamba,Tchamba 1,Tchamba,Iyiwa,Agence Togocom Tchamba,"Agence Togocom Tchamba, Iyiwa, Quartier Atchanve, place de la réconciliation,BP333 Lomé ",{Utilise},Togocom,1.4154333333333333,9.021938333333333
Centrale,Tchamba,Tchamba 3,Kaboli,Kaboli,Franchise Togocom Kaboli,"Franchise Togocom Kaboli, Kaboli",{Utilise},Togocom,1.5930066666666667,8.746319999999999
Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua,Agence Togocom Sotouboua,"Agence Togocom Sotouboua, Sotouboua, ",{Utilise},Togocom,0.9748136443222274,8.56147247694421
Centrale,Blitta,Blitta 1,Blitta-Village,Blitta Village,Agence Togocom Blitta,"Agence Togocom Blitta, Blitta Village",{Utilise},Togocom,1.0102778708306066,8.3431775078664
Maritime,Golfe,Golfe 6,Baguida,Baguida,Agence Togocom Baguida,"Agence Togocom Baguida, Baguida",{Utilise},Togocom,1.3425133333333332,6.168715
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Leader Price,Agence Togocom Agoe,"Agence Togocom Agoe, Agoe Leader Price",{Utilise},Togocom,1.210900071561107,6.231077994677203
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Assiyeye,Franchise Togocom Agoe Assiyeye,"Franchise Togocom Agoe Assiyeye, Agoe Assiyeye, LIBRAIRIE BON PASTEUR",{Utilise},Togocom,1.1990666082427899,6.230627236213058
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Nyiveme,Franchise Togocom Agoe Nyiveme,"Franchise Togocom Agoe Nyiveme, Agoe Nyiveme",{Utilise},Togocom,1.2061866204763845,6.2209900074794575
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Plateau,Franchise Togocom Agoe Plateau,"Franchise Togocom Agoe Plateau, Agoe Plateau",Nsp,Togocom,1.1871283333333333,6.21647
Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Elavagno Kleve,Agence Togocom Elavagno Kleve,"Agence Togocom Elavagno Kleve, Elavagno Kleve",Nsp,Togocom,1.1666036,6.2111736
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Anokui,Franchise Togocom Agoe Anokui,"Franchise Togocom Agoe Anokui, Anokui",{Utilise},Togocom,1.1871983333333334,6.242343333333334
Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Zossime,Agence Togocom Zossime,"Agence Togocom Zossime, Zossime",{Utilise},Togocom,1.149106424593853,6.233276083750482
