adm2_pcode,adm2_name,adm3_pcode,adm3_name,center_lat,center_lon,area_sqkm
TG0308,Zio,TG030801,Abobo,6.250369,1.34884681,112.23551667
TG0407,Kpele,TG040701,Adeta,7.0917395,0.87068211,202.8479946
TG0309,Agoe-Nyive,TG030901,Adetikope,6.320109,1.2097585,44.32738121
TG0401,Amou,TG040101,Adiva,7.498801,1.01820885,10.53327579
TG0403,Agou,TG040301,Adjahun Fiagbe,6.762418,0.73506917,63.20770563
TG0103,Sotouboua,TG010301,Adjengere,8.688721,0.94175424,292.11041561
TG0411,Anie,TG041101,Adogbenou,7.8131105,1.51940213,639.90896865
TG0403,Agou,TG040302,Adzakpa,6.614559,0.76185626,165.87885505
TG0302,Bas-Mono,TG030201,Afagnan / Afagnagan,6.5041125,1.63203284,112.25715045
TG0104,Tchamba,TG010401,Affem,9.122283,1.520651,163.54681059
TG0303,Golfe,TG030301,Aflao Gakli,6.19743503,1.16788385,11.00436195
TG0101,Blitta,TG010101,Agbandi,8.2485245,1.15118722,241.46550143
TG0205,Doufelgou,TG020501,Agbandi-Yaka,9.6979175,1.09987531,97.05857567
TG0308,Zio,TG030802,Agbelouve,6.725136,1.0640904,452.9506497
TG0304,Lacs,TG030401,Agbodrafo,6.2125395,1.517279,81.48233086
TG0309,Agoe-Nyive,TG030902,Agoenyive,6.2333305,1.20653894,46.60473308
TG0412,Kloto,TG041201,Agome,6.935945,0.61289236,32.44912228
TG0412,Kloto,TG041202,Agome-Tomegbe,6.942733,0.54629601,26.77647324
TG0302,Bas-Mono,TG030202,Agome Glozou/Agbetiko,6.501472,1.68786447,72.98692102
TG0403,Agou,TG040303,Agotime Nord,6.707528,0.68694882,213.62232711
TG0403,Agou,TG040309,Agou-Akplolo,6.918968,0.79349672,45.41306757
TG0403,Agou,TG040304,Agou Agbetiko/Agou Dzidjole,6.925972,0.7341313,68.62937884
TG0403,Agou,TG040305,Agou Atigbe,6.7901165,0.74948677,33.60276265
TG0403,Agou,TG040306,Agou Gadzepe,6.8465325,0.70583193,31.93080442
TG0403,Agou,TG040307,Agou Kebo,6.8685685,0.74171738,18.00283718
TG0403,Agou,TG040308,Agou Yiboe/Kati,6.9065205,0.87802648,109.95967608
TG0304,Lacs,TG030402,Agouegan,6.273966,1.71979261,49.17277933
TG0105,Tchaoudjo,TG010501,Agoulou,9.1922095,1.36480593,264.11904013
TG0408,Moyen-Mono,TG040801,Ahassome,7.2086135,1.514053,133.02016658
TG0307,Yoto,TG030701,Ahepe,6.5699345,1.4236099,95.1523491
TG0404,Danyi,TG040401,Ahlon,7.2787735,0.66391112,51.02680881
TG0407,Kpele,TG040702,Akata,7.045233,0.71976625,89.15192598
TG0301,Ave,TG030101,Akepe,6.2306755,1.07088335,42.7592164
TG0304,Lacs,TG030403,Aklakou,6.3394925,1.71717882,179.99184507
TG0306,Vo,TG030601,Akoumape,6.433624,1.43719233,123.41311181
TG0409,Ogou,TG040901,Akpare,7.453272,1.34743587,276.34673865
TG0206,Keran,TG020601,Akponte,10.1891185,0.9066252,215.70366868
TG0201,Assoli,TG020101,Aledjo,9.2799335,1.16600181,187.60499906
TG0105,Tchaoudjo,TG010502,Aleheride/Amaide,9.155504,1.15884192,243.50860851
TG0104,Tchamba,TG010402,Alibi,8.8126545,1.36419547,538.54306576
TG0205,Doufelgou,TG020502,Aloum,9.77426,0.9710185,164.71835904
TG0401,Amou,TG040102,Amou-Oblo,7.3613215,0.8649412,150.74019863
TG0307,Yoto,TG030702,Amoussime,6.6378225,1.51043821,39.49807428
TG0403,Agou,TG040310,Amoussou Kope,6.661579,0.84432609,137.50501514
TG0303,Golfe,TG030302,Amoutive,6.2187695,1.26591183,23.598666
TG0304,Lacs,TG030404,Aneho,6.238067,1.60710534,17.39448502
TG0304,Lacs,TG030405,Anfoin,6.340102,1.61107313,25.37745704
TG0411,Anie,TG041102,Anie,7.7804875,1.15344413,241.98242515
TG0306,Vo,TG030602,Anyron Kope,6.259088,1.55343911,32.32379531
TG0103,Sotouboua,TG010302,Aouda,8.8622735,0.85838223,785.11560193
TG0301,Ave,TG030102,Assahoun/Ando Peme,6.4986765,0.85115802,377.66242577
TG0406,Haho,TG040601,Assrama,6.9901975,1.45830479,618.2469279
TG0206,Keran,TG020602,Atalote,9.947946,0.8867311,287.75125566
TG0207,Kozah,TG020701,Atchangbade,9.473733,1.10936741,152.07051824
TG0411,Anie,TG041103,Atchinedji,7.579525,1.38843077,411.05115216
TG0101,Blitta,TG010102,Atchintse,7.9794325,0.66583934,176.96687904
TG0406,Haho,TG040602,Atsave,6.8737715,1.31155966,305.8034716
TG0302,Bas-Mono,TG030203,Attitogon,6.4102385,1.64853773,68.97885036
TG0401,Amou,TG040103,Avedje,7.421693,1.12995886,39.13009357
TG0207,Kozah,TG020702,Awandjelo,9.474899,1.19187122,115.51089427
TG0405,Est-Mono,TG040501,Badin,8.2542835,1.54327141,495.51673394
TG0301,Ave,TG030103,Badja,6.3763795,1.01826737,173.55284604
TG0402,Wawa,TG040201,Badou,7.5633725,0.57635075,99.67972411
TG0201,Assoli,TG020102,Bafilo,9.3669465,1.26114582,155.73833688
TG0205,Doufelgou,TG020503,Baga,9.804723,1.10028149,44.35382615
TG0202,Bassar,TG020201,Baghan,8.9820075,0.56207524,473.15921301
TG0104,Tchamba,TG010403,Bago,8.4394075,1.35288278,367.14003544
TG0515,Tandjoare,TG051501,Bagou,10.673332,0.03529779,28.84272315
