region_nom_bdd,prefecture_nom_bdd,canton_nom_bdd,nb_agences,nb_agents_mobile_money,lon,lat,sans_agence_operateur,rang_desserte_mm,zone_prioritaire,dist_km_agence_plus_proche,dist_km_agent_mm_plus_proche,population_totale,population_masculin,population_feminin,population_method,adm2_name_hdx,adm3_name_hdx,adm3_pcode_hdx,area_sqkm_hdx,densite_pop_par_km2,agences_pour_10k_hab,agents_mm_pour_10k_hab
Centrale,Blitta,Agbandi,0.0,5,1.1279542722146512,8.22675558972363,True,56.0,True,18.15,0.65,12122,5989,6133,exact,Blitta,Agbandi,TG010101,241.46550143,50.2,0.0,4.12
Centrale,Blitta,Atchintsè,0.0,1,0.6592516666666667,8.003865,True,1.0,True,53.54,0.0,4572,2365,2207,exact,Blitta,Atchintse,TG010102,176.96687904,25.8,0.0,2.19
Centrale,Blitta,Blitta,0.0,8,0.9816444539440957,8.32349259055529,True,99.0,False,3.42,0.14,14067,6998,7069,fuzzy,Blitta,Blitta-Gare,TG010104,107.69203187,130.6,0.0,5.69
Centrale,Blitta,Blitta-Village,2.0,13,1.008984934446182,8.344434658109744,False,170.0,False,0.2,0.06,10794,5268,5526,fuzzy,Blitta,Blitta Village,TG010103,62.74797698,172.0,1.85,12.04
Centrale,Blitta,M'Poti,0.0,3,0.8095966095518746,8.21831746857655,True,32.0,True,25.67,0.01,6971,3610,3361,exact,Blitta,M'Poti,TG010111,264.64134095,26.3,0.0,4.3
Centrale,Blitta,Pagala-Gare,0.0,17,0.9709377714437546,8.179077263725834,True,200.0,False,18.27,0.07,23112,11669,11443,exact,Blitta,Pagala Gare,TG010112,184.09882581,125.5,0.0,7.36
Centrale,Blitta,Tchaloudè,0.0,10,1.1167440047979993,8.260980966662608,True,130.0,False,14.76,0.08,9752,4886,4866,exact,Blitta,Tchaloude,TG010114,99.71995109,97.8,0.0,10.25
Centrale,Blitta,Tcharè-Baou,0.0,4,1.0296411552200768,8.022027697499087,True,43.0,True,33.77,1.39,7309,3717,3592,exact,Blitta,Tchare-Baou,TG010115,167.29570238,43.7,0.0,5.47
Centrale,Blitta,Waragni,0.0,7,1.034267619047619,8.269826666666667,True,85.0,True,8.22,0.01,4956,2401,2555,exact,Blitta,Waragni,TG010118,42.96547975,115.3,0.0,14.12
Centrale,Blitta,Welly,0.0,2,0.87558827294796,8.077107141119374,True,14.0,True,32.6,0.07,10170,5086,5084,exact,Blitta,Welly,TG010119,294.06409083,34.6,0.0,1.97
Centrale,Blitta,Yaloumbè,0.0,20,1.0816442499999999,8.301532916666666,True,225.0,False,9.08,0.17,6253,3111,3142,exact,Blitta,Yaloumbe,TG010120,79.87229037,78.3,0.0,31.98
Centrale,Mô,Boulohou,0.0,9,0.7342494444444445,8.707377777777777,True,112.0,False,31.03,4.35,5831,2932,2899,exact,Plaine du Mo,Boulohou,TG010201,343.72523994,17.0,0.0,15.43
Centrale,Mô,Djarkpanga,0.0,14,0.5653377380952381,8.789434642857143,True,180.0,False,51.66,0.19,19374,9817,9557,exact,Plaine du Mo,Djarkpanga,TG010202,294.45483295,65.8,0.0,7.23
Centrale,Mô,Kagnigbara,0.0,2,0.6294075,8.885022499999998,True,14.0,True,44.87,3.04,5317,2704,2613,exact,Plaine du Mo,Kagnigbara,TG010203,235.54573333,22.6,0.0,3.76
Centrale,Mô,Saïboudè,0.0,2,0.4750825000000001,8.605861666666666,True,14.0,True,55.17,0.27,7696,3850,3846,exact,Plaine du Mo,Saiboude,TG010204,76.1509257,101.1,0.0,2.6
Centrale,Mô,Tindjasse,0.0,5,0.455424,8.645866000000002,True,56.0,True,57.87,0.63,14230,7185,7045,fuzzy,Plaine du Mo,Tindjassi,TG010205,304.59722145,46.7,0.0,3.51
Centrale,Sotouboua,Adjengré,0.0,62,1.019767079374037,8.662179353511643,True,323.0,False,11.8,0.16,21727,10553,11174,exact,Sotouboua,Adjengere,TG010301,292.11041561,74.4,0.0,28.54
Centrale,Sotouboua,Aouda,0.0,28,1.048201620505759,8.73177707446634,True,269.0,False,20.13,0.04,17291,8654,8637,exact,Sotouboua,Aouda,TG010302,785.11560193,22.0,0.0,16.19
Centrale,Sotouboua,Bodjondè,0.0,6,1.04019863477966,8.430022639521333,True,71.0,True,10.2,0.14,2218,1070,1148,exact,Sotouboua,Bodjonde,TG010303,57.49714644,38.6,0.0,27.05
