prefecture,region,population_hommes,population_femmes,population_totale,nb_agences,nb_agences_moov,nb_agences_togocom,nb_agents_mobile_money,agences_pour_10k_hab,agents_mm_pour_10k_hab,polygon_key
Golfe,Grand Lomé,631567,674114,1305681,26.0,12.0,14.0,5121,0.2,39.22,GrandLome
Agoè-Nyivé,Grand Lomé,428937,453758,882695,14.0,2.0,12.0,1398,0.16,15.84,GrandLome
Zio,Maritime,242367,257665,500032,5.0,2.0,3.0,779,0.1,15.58,Zio
Yoto,Maritime,82859,91992,174851,1.0,0.0,1.0,160,0.06,9.15,Yoto
Bas-Mono,Maritime,44366,50494,94860,2.0,0.0,2.0,183,0.21,19.29,Bas-Mono
Lacs,Maritime,115468,125779,241247,0.0,0.0,0.0,741,0.0,30.72,Lacs
Vo,Maritime,104485,119926,224411,0.0,0.0,0.0,476,0.0,21.21,Vo
Avé,Maritime,53331,57883,111214,3.0,1.0,2.0,128,0.27,11.51,Avé
Ogou,Plateaux,124073,129394,253467,1.0,0.0,1.0,421,0.04,16.61,Ogou
Moyen-Mono,Plateaux,41413,49092,90505,1.0,0.0,1.0,81,0.11,8.95,Moyen-Mono
Haho,Plateaux,148029,157067,305096,3.0,1.0,2.0,453,0.1,14.85,Haho
Agou,Plateaux,42449,43344,85793,1.0,0.0,1.0,224,0.12,26.11,Agou
Kloto,Plateaux,71161,74825,145986,2.0,1.0,1.0,503,0.14,34.46,Kloto
Kpélé,Plateaux,40129,40810,80939,2.0,1.0,1.0,255,0.25,31.51,Kpélé
Danyi,Plateaux,20512,19728,40240,0.0,0.0,0.0,142,0.0,35.29,Danyi
Wawa,Plateaux,51383,49917,101300,0.0,0.0,0.0,244,0.0,24.09,Wawa
Akébou,Plateaux,37236,36594,73830,0.0,0.0,0.0,87,0.0,11.78,Akébou
Amou,Plateaux,56543,57629,114172,0.0,0.0,0.0,175,0.0,15.33,Amou
Anié,Plateaux,89897,90261,180158,2.0,1.0,1.0,285,0.11,15.82,Anié
Est-Mono,Plateaux,83329,81131,164460,0.0,0.0,0.0,209,0.0,12.71,Est-Mono
Tchaoudjo,Centrale,119126,121234,240360,4.0,1.0,3.0,1411,0.17,58.7,Tchaoudjo
Tchamba,Centrale,100980,99605,200585,2.0,0.0,2.0,205,0.1,10.22,Tchamba
Blitta,Centrale,81602,81670,163272,2.0,1.0,1.0,90,0.12,5.51,Blitta
Sotouboua,Centrale,69140,69724,138864,3.0,1.0,2.0,355,0.22,25.56,Sotouboua
Mô,Centrale,26488,25960,52448,0.0,0.0,0.0,32,0.0,6.1,Mô
Kozah,Kara,141188,142550,283738,2.0,1.0,1.0,1562,0.07,55.05,Kozah
Assoli,Kara,33246,33148,66394,1.0,0.0,1.0,228,0.15,34.34,Assoli
Bassar,Kara,76235,75830,152065,3.0,1.0,2.0,436,0.2,28.67,Bassar
Dankpen,Kara,91567,94095,185662,1.0,0.0,1.0,190,0.05,10.23,Dankpen
Kéran,Kara,63731,64956,128687,2.0,0.0,2.0,139,0.16,10.8,Kéran
Doufelgou,Kara,40973,43794,84767,1.0,0.0,1.0,184,0.12,21.71,Doufelgou
Binah,Kara,41285,42914,84199,0.0,0.0,0.0,212,0.0,25.18,Binah
Tône,Savanes,185480,203295,388775,2.0,1.0,1.0,1280,0.05,32.92,Tône
Cinkassé,Savanes,62574,66385,128959,2.0,1.0,1.0,543,0.16,42.11,Cinkassé
Kpendjal-Ouest,Savanes,58175,65155,123330,0.0,0.0,0.0,129,0.0,10.46,KpendjalGroup
Kpendjal,Savanes,43035,45330,88365,0.0,0.0,0.0,41,0.0,4.64,KpendjalGroup
Oti-Sud,Savanes,73332,77044,150376,1.0,0.0,1.0,159,0.07,10.57,OtiGroup
Oti,Savanes,60638,64210,124848,1.0,0.0,1.0,368,0.08,29.48,OtiGroup
Tandjoaré,Savanes,66181,72686,138867,0.0,0.0,0.0,159,0.0,11.45,Tandjoaré
