region_nom_bdd,prefecture_nom_bdd,canton_nom_bdd,nb_agents,lon,lat
Centrale,Blitta,Agbandi,5,1.1279542722146512,8.22675558972363
Centrale,Blitta,Atchintsè,1,0.6592516666666667,8.003865
Centrale,Blitta,Blitta,8,0.9816444539440957,8.32349259055529
Centrale,Blitta,Blitta-Village,13,1.008931007974125,8.34493543446148
Centrale,Blitta,M'Poti,3,0.8095966095518746,8.21831746857655
Centrale,Blitta,Pagala-Gare,17,0.9709377714437546,8.179077263725834
Centrale,Blitta,Tchaloudè,10,1.1167440047979993,8.260980966662608
Centrale,Blitta,Tcharè-Baou,4,1.0296411552200768,8.022027697499087
Centrale,Blitta,Waragni,7,1.034267619047619,8.269826666666667
Centrale,Blitta,Welly,2,0.87558827294796,8.077107141119374
Centrale,Blitta,Yaloumbè,20,1.0816442499999999,8.301532916666666
Centrale,Mô,Boulohou,9,0.7342494444444445,8.707377777777777
Centrale,Mô,Djarkpanga,14,0.5653377380952381,8.789434642857143
Centrale,Mô,Kagnigbara,2,0.6294075,8.885022499999998
Centrale,Mô,Saïboudè,2,0.4750825000000001,8.605861666666666
Centrale,Mô,Tindjasse,5,0.455424,8.645866000000002
Centrale,Sotouboua,Adjengré,62,1.019767079374037,8.662179353511643
Centrale,Sotouboua,Aouda,28,1.048201620505759,8.73177707446634
Centrale,Sotouboua,Bodjondè,6,1.04019863477966,8.430022639521333
Centrale,Sotouboua,Kaniamboua,8,1.0028422012889977,8.607760220787858
Centrale,Sotouboua,Kazaboua,15,1.0792985701936606,8.426400921626689
Centrale,Sotouboua,Sotouboua,141,0.9843621462432524,8.559252392545522
Centrale,Sotouboua,Séssaro,6,1.184319476565431,8.617542191117304
Centrale,Sotouboua,Tabindè,2,1.1443746680946503,8.503872958051943
Centrale,Sotouboua,Tchébébé,76,0.9848176799208341,8.430503031547955
Centrale,Sotouboua,Tittigbe,11,1.1029162057551642,8.613279945483887
Centrale,Tchamba,Affem,4,1.522955,9.132243333333333
Centrale,Tchamba,Alibi I,3,1.412091111111111,8.916342222222221
Centrale,Tchamba,Bago,44,1.3587043334897762,8.491423976478787
Centrale,Tchamba,Balanka,11,1.6148622728590296,8.866357969339782
Centrale,Tchamba,Goubi,17,1.4722837977829508,8.636538350237492
Centrale,Tchamba,Kaboli,40,1.5947241065474167,8.72008312052082
Centrale,Tchamba,Koussountou,41,1.5172256686465313,8.888435629438918
Centrale,Tchamba,Kri-Kri,2,1.4152225,9.197596666666668
Centrale,Tchamba,Larini,3,1.4168450000000001,9.046267777777778
Centrale,Tchamba,Tchamba,40,1.4282949166666667,9.022880625
Centrale,Tchaoudjo,Agouloudè,13,1.3245735897435897,9.119722051282052
Centrale,Tchaoudjo,Aléhéridè,27,1.1987830153653403,9.20538389808031
Centrale,Tchaoudjo,Amaïde,20,1.1743597632642158,9.163682607428413
Centrale,Tchaoudjo,Kadambara,56,1.158095556749109,8.953419622849358
Centrale,Tchaoudjo,Kolina,13,1.1087096388079185,9.094438541447413
Centrale,Tchaoudjo,Kpangalam,261,1.1344034428463055,9.011525973935228
Centrale,Tchaoudjo,Kparataou,66,1.253723698969873,8.937402891349581
Centrale,Tchaoudjo,Kpassaouade,10,1.2760635,9.046429
Centrale,Tchaoudjo,Kéméni,5,1.2441981029197153,9.233921147857192
Centrale,Tchaoudjo,Lama-Tessi,45,1.0792142311449526,8.85347750774746
Centrale,Tchaoudjo,Sokodè (Komah),862,1.1440434155541142,8.9816954326062
Centrale,Tchaoudjo,Tchalo,23,1.1214497956974534,8.936543296602869
Centrale,Tchaoudjo,Wassarabo,10,1.259009,9.015175333333334
Kara,Assoli,Alédjo,18,1.2257027231371758,9.275263477629814
Kara,Assoli,Bafilo,153,1.2478614948167923,9.354947233942598
Kara,Assoli,Bouladè,7,1.2266805897612296,9.40480419532284
Kara,Assoli,Dako (Daoude),9,1.0656618169804375,9.323258788144905
Kara,Assoli,Koumondè,13,1.23794902125585,9.305597051315692
Kara,Assoli,Soudou,28,1.3432113168677007,9.369080804516798
Kara,Bassar,Baghan,9,0.6608807407407408,9.0658
Kara,Bassar,Bangeli,40,0.6307733556972828,9.42269849209395
Kara,Bassar,Bassar,257,0.7844920274263091,9.259956668488362
Kara,Bassar,Bitchabe,4,0.5804862700029515,9.317571539563392
Kara,Bassar,Dimori,10,0.5880601666666666,9.179001333333334
Kara,Bassar,Kabou,70,0.8149453417068053,9.46002351161774
Kara,Bassar,Kalanga,7,0.6809932493201639,9.275561114052692
Kara,Bassar,Manga,10,0.7043079822773926,9.557877341301237
Kara,Bassar,Sanda-Afohou,12,0.9419449271356942,9.4831947109757
Kara,Bassar,Sanda-Kagbanda,17,0.8976772658997341,9.487535740001874
Kara,Binah,Boufalé,12,1.3506727875978628,9.839788920768553
Kara,Binah,Kémérida,9,1.3565287538000492,9.667703460385733
Kara,Binah,Kétao,99,1.3098780768364262,9.659132398414597
Kara,Binah,Lama-Dessi,12,1.2714007367913405,9.719932905762809
Kara,Binah,Pagouda,47,1.3225498883586746,9.745842119218443
Kara,Binah,Pessaré,7,1.245372788532285,9.796120308362175
Kara,Binah,Pitikita,2,1.2277307939850313,9.77205752428699
Kara,Binah,Sirka,12,1.3308865891731836,9.553136142924176
Kara,Binah,Solla,12,1.3485703986740052,9.890197543996882
