FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,toilette_type,geometry
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f35,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua,Agence Moov Sotouboua,"Agence Moov Sotouboua, Sotouboua","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,"{WCs,Latrines a eau}",POINT (0.9770733333333333 8.560676666666666)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f34,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Kossobio,Agence Moov Sokode,"Agence Moov Sokode, Kossobio, 400BP7010/C Direction","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2011,{Utilise},Agence Moov,"{WCs,Douches}",POINT (1.1388047548912492 8.989586208250028)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f33,Centrale,Blitta,Blitta 1,Blitta-Village,Blitta Sous L'antenne ,Agence Moov Blitta Sous L'Antenne ,"Agence Moov Blitta Sous L'Antenne , Blitta Sous L'Antenne ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Moov,Nsp,POINT (1.0083930421985017 8.339181715780521)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f32,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe,Moov Store Agoe,"Moov Store Agoe, Agoe","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,{Latrines a eau},POINT (1.2093339414432598 6.2217219240318204)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f31,Maritime,Golfe,Golfe 6,Baguida,Baguida,Moov Store Baguida,"Moov Store Baguida, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,{Latrines a eau},POINT (1.3379933333333334 6.167401666666666)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f30,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Sagbado,Agence Moov Sagbado,"Agence Moov Sagbado, Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Moov,{WCs},POINT (1.13712 6.1936800000000005)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f2f,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Telessou ,Agence Moov Store Telessou,"Agence Moov Store Telessou, Telessou ","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp ,Nsp,Agence Moov,Nsp,POINT (1.1745742061042703 6.213509940345563)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f2e,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidoadin,Agence Moov Adidoadin,"Agence Moov Adidoadin, Adidoadin","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,Nsp,Agence Moov,Nsp,POINT (1.1883008398175776 6.199214219034881)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f2d,Maritime,Golfe,Golfe 3,Bè-Ouest,Nukafu,Agence Moov Nukafu,"Agence Moov Nukafu, Nukafu","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2017,{Utilise},Agence Moov,"{WCs,Douches}",POINT (1.2344614186634568 6.170216280162648)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f2c,Maritime,Golfe,Golfe 1,Bè-Est,Kpota,Agence Moov Be Kpota,"Agence Moov Be Kpota, Kpota","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2017,{Utilise},Agence Moov,"{WCs,Douches}",POINT (1.2552833333333333 6.157663333333333)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f2b,Maritime,Golfe,Golfe 1,Bè-Est,Ocam,Agence Moov Ocam,"Agence Moov Ocam, Ocam, BP14511 Lomé ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,"{WCs,Douches}",POINT (1.24004 6.130493333333334)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f2a,Maritime,Golfe,Golfe 4,Amoutivé,Hanoukope,Agence Moov Hanoukope,"Agence Moov Hanoukope, Hanoukope","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2013,{Utilise},Agence Moov,"{WCs,Douches}",POINT (1.219526636567681 6.135790653612904)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f29,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame,Agence Moov Teddycom Adakpame,"Agence Moov Teddycom Adakpame, Adakpame, 21BP182","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2019,{Utilise},Agence Moov,{WCs},POINT (1.2848016666666666 6.159930000000001)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f28,Maritime,Golfe,Golfe 1,Bè-Est,Akodessewa,Agence Moov Akodessewa,"Agence Moov Akodessewa, Akodessewa","{Lundi,Mardi,Mercredi,Vendredi,jeudi,Samedi}",Nsp,{Utilise},Agence Moov,Nsp,POINT (1.2537440894895422 6.149535176503007)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f27,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adjidogome,Agence Moov Adidogome,"Agence Moov Adidogome, Adjidogome, BP14511 Lomé ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Moov,"{WCs,Douches}",POINT (1.1666133333333333 6.185315000000001)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f26,Maritime,Golfe,Golfe 1,Bè-Est,Privilège ,Agence Moov Privilège,"Agence Moov Privilège, Privilège ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,Nsp,POINT (1.2407955937059894 6.152183407357222)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f25,Maritime,Zio,Zio 1,Tsévié,Daviemondji,Moov Store Tsevie,"Moov Store Tsevie, Daviemondji","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,{Utilise},Agence Moov,{WCs},POINT (1.2091516666666666 6.410936666666667)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f24,Maritime,Golfe,Golfe 2,Bè-Centre,Aeroport Lome,Agence Moov Aeroport Lome,"Agence Moov Aeroport Lome, Aeroport Lome","{Lundi,Mardi,Mercredi,jeudi,Samedi,Dimanche,Vendredi}",2017,{Utilise},Agence Moov,Nsp,POINT (1.2530180124498576 6.170390811463834)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f23,Kara,Kozah,Kozah 1,Commune De Kara,Batassoukome,Agence Moov Kara,"Agence Moov Kara, Batassoukome","{Mardi,Lundi,Mercredi,jeudi,Vendredi,Samedi}",2007,{Utilise},Agence Moov,"{WCs,Douches}",POINT (1.1884416666666666 9.546851666666667)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f22,Kara,Bassar,Bassar 1,Bassar,Bassar,Agence Moov Bassar,"Agence Moov Bassar, Bassar","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,{Latrines a eau},POINT (0.781485 9.262368333333335)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f21,Maritime,Zio,Zio 1,Djagblé,Djagble Centre,Moov Store Djagble Centre,"Moov Store Djagble Centre, Djagble Centre","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2020,{Utilise},Agence Moov,{WCs},POINT (1.282715644370347 6.253717219782764)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f20,Maritime,Avé,Avé 1,Assahoun,Kpetoume ,Agence Moov Kpetoume ,"Agence Moov Kpetoume , Kpetoume ","{Lundi,Mardi,jeudi,Mercredi,Vendredi,Samedi}",Nsp ,{Utilise},Agence Moov,{WCs},POINT (0.9153915164331609 6.448079479499792)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f1f,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Atakpame Kondji,Agence Moov Atakpame Kondji,"Agence Moov Atakpame Kondji, Atakpame Kondji","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2012,{Utilise},Agence Moov,"{WCs,Douches}",POINT (0.6323238302268985 6.912437527210687)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f1e,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Kpele Adeta ,Moov Store de Kpele Adeta,"Moov Store de Kpele Adeta, Kpele Adeta ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2021,{Utilise},Agence Moov,"{Latrines a eau,Douches}",POINT (0.7312633333333333 7.132038333333332)
