FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,toilette_type,geometry
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f8f,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Laowe,Agence Togocom Sotouboua,"Agence Togocom Sotouboua, Laowe",Néant,Nsp,Nsp,Agence Togocom,Nsp,POINT (0.985734376020098 8.561571052152336)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f8e,Maritime,Golfe,Golfe 4,Amoutivé,Assivito,Agence Togocom Assivito,"Agence Togocom Assivito, Assivito","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2022,{Utilise},Agence Togocom,Nsp,POINT (1.221865 6.130468333333332)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f8d,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Zongo,Boutique Togocom Tchakala,"Boutique Togocom Tchakala, Zongo, BP244 Sokodé","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2014,{Utilise},Agence Togocom,{Douches},POINT (1.1404672575309502 8.98419873591971)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f8c,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Barriere,Agence Togocom Sokode,"Agence Togocom Sokode, Barriere, BP333","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2007,{Utilise},Agence Togocom,"{WCs,Douches}",POINT (1.1364225484392025 8.995775168282453)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f8b,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua,Agence Moov Sotouboua,"Agence Moov Sotouboua, Sotouboua","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,"{WCs,Latrines a eau}",POINT (0.9770733333333333 8.560676666666666)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f8a,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Komah ,Agence Togocom Franchise Koma,"Agence Togocom Franchise Koma, Komah ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence Togocom,"{WCs,Douches}",POINT (1.149767464182392 8.969711814416957)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f89,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Kossobio,Agence Moov Sokode,"Agence Moov Sokode, Kossobio, 400BP7010/C Direction","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2011,{Utilise},Agence Moov,"{WCs,Douches}",POINT (1.1388047548912492 8.989586208250028)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f88,Centrale,Tchamba,Tchamba 1,Tchamba,Iyiwa,Agence Togocom Tchamba,"Agence Togocom Tchamba, Iyiwa, Quartier Atchanve, place de la réconciliation,BP333 Lomé ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2013,{Utilise},Agence Togocom,"{WCs,Latrines a eau}",POINT (1.4154333333333333 9.021938333333333)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f87,Centrale,Tchamba,Tchamba 3,Kaboli,Kaboli,Franchise Togocom Kaboli,"Franchise Togocom Kaboli, Kaboli","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence Togocom,Nsp,POINT (1.5930066666666667 8.746319999999999)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f86,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua,Agence Togocom Sotouboua,"Agence Togocom Sotouboua, Sotouboua, ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2012,{Utilise},Agence Togocom,Nsp,POINT (0.9748136443222274 8.56147247694421)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f85,Centrale,Blitta,Blitta 1,Blitta-Village,Blitta Village,Agence Togocom Blitta,"Agence Togocom Blitta, Blitta Village","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Togocom,"{Latrines a eau,Douches}",POINT (1.0102778708306066 8.3431775078664)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f84,Centrale,Blitta,Blitta 1,Blitta-Village,Blitta Sous L'antenne ,Agence Moov Blitta Sous L'Antenne ,"Agence Moov Blitta Sous L'Antenne , Blitta Sous L'Antenne ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Moov,Nsp,POINT (1.0083930421985017 8.339181715780521)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f83,Maritime,Golfe,Golfe 6,Baguida,Baguida,Agence Togocom Baguida,"Agence Togocom Baguida, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2001,{Utilise},Agence Togocom,{WCs},POINT (1.3425133333333332 6.168715)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f82,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe,Moov Store Agoe,"Moov Store Agoe, Agoe","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,{Latrines a eau},POINT (1.2093339414432598 6.2217219240318204)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f81,Maritime,Golfe,Golfe 6,Baguida,Baguida,Moov Store Baguida,"Moov Store Baguida, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,{Latrines a eau},POINT (1.3379933333333334 6.167401666666666)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f80,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Leader Price,Agence Togocom Agoe,"Agence Togocom Agoe, Agoe Leader Price","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Togocom,{Latrines a eau},POINT (1.210900071561107 6.231077994677203)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f7f,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Assiyeye,Franchise Togocom Agoe Assiyeye,"Franchise Togocom Agoe Assiyeye, Agoe Assiyeye, LIBRAIRIE BON PASTEUR","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Togocom,{WCs},POINT (1.1990666082427899 6.230627236213058)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f7e,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Nyiveme,Franchise Togocom Agoe Nyiveme,"Franchise Togocom Agoe Nyiveme, Agoe Nyiveme","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Togocom,"{WCs,Douches}",POINT (1.2061866204763845 6.2209900074794575)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f7d,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Plateau,Franchise Togocom Agoe Plateau,"Franchise Togocom Agoe Plateau, Agoe Plateau","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,Nsp,Agence Togocom,Nsp,POINT (1.1871283333333333 6.21647)
