FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,operateur,geometry
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed8,Savanes,Tône,Tône 4,Sanfatoute,"Moov, Togocom",POINT (0.3032083333333333 10.996651666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed7,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",POINT (0.3600592001272428 10.717565088366083)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed6,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.231485 10.878860000000001)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed5,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",POINT (0.36035 10.717921666666665)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed4,Maritime,Golfe,Golfe 1,Bè-Est,Nsp,POINT (1.2845533333333332 6.171833333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed3,Savanes,Tône,Tône 1,Toaga,Togocom,POINT (0.2489566666666667 10.885906666666665)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed2,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",POINT (0.3603193341104241 10.718124249426852)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed1,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Togocom,POINT (0.3601712447675913 10.718348622033448)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed0,Savanes,Tône,Tône 1,Toaga,Togocom,POINT (0.2392606758149832 10.882063923216391)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ecf,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,"Moov, Togocom",POINT (0.1864104159983782 11.00668450253974)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ece,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Nayéga,"Moov, Togocom",POINT (0.4091616666666667 10.751848333333331)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ecd,Savanes,Tône,Tône 1,Dapaong,Togocom,POINT (0.2020216666666666 10.865521666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ecc,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2020533333333333 10.865516666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ecb,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2017816666666667 10.865371666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eca,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.20137 10.866153333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec9,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2026883333333333 10.864476666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec8,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2026296669965144 10.864457306134542)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec7,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.19946 10.864713333333334)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec6,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.20313 10.864866666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec5,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2032233333333333 10.864973333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec4,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Moov,POINT (0.1919290572081031 11.012449060371543)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec3,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.19793 10.864121666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec2,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.1995246969729944 10.868651333587971)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec1,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.1999333333333334 10.867818333333332)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec0,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2044666666666667 10.863693333333334)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ebf,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.1994633333333334 10.868625000000002)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ebe,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.1943983333333333 10.863111666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ebd,Savanes,Tône,Tône 1,Dapaong,Togocom,POINT (0.2040916666666667 10.863585)
